IndexId,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,TS1,TS2
85,852.46,520.48,24.25,210.98,0,0,0,20:04:04,1.54319E+12
86,951.02,519.84,23.65,256.65,0,0,0,20:04:04,1.54319E+12
87,875.91,521,21.68,243,0,0,0,20:04:04,1.54319E+12
88,822.73,518.81,22.09,202.96,0,0,0,20:04:04,1.54319E+12
89,936.2,518.41,27.09,241.33,0,0,0,20:04:04,1.54319E+12
90,918.31,517.87,25.24,254.97,0,0,0,20:04:04,1.54319E+12
91,815.96,522.22,20.52,211.76,0,0,0,20:04:04,1.54319E+12
92,899.7,523.15,25.88,230.48,0,0,0,20:04:04,1.54319E+12
93,951.25,520.65,26.75,262.06,0,0,0,20:04:04,1.54319E+12
94,843.43,521.07,19.77,226.23,0,0,0,20:04:04,1.54319E+12
95,858.29,523.81,20.12,216.01,0,0,0,20:04:04,1.54319E+12
96,956.91,525.28,24.45,263,0,0,0,20:04:04,1.54319E+12
97,884.26,526.04,22.62,247.99,0,0,0,20:04:04,1.54319E+12
98,830.03,526.16,19.04,210.97,0,0,0,20:04:04,1.54319E+12
99,940.38,524.44,25.07,253.12,0,0,0,20:04:04,1.54319E+12
100,926.29,530.46,22.46,261.85,0,0,0,20:04:04,1.54319E+12
101,820.9,529.32,19.36,218.8,0,0,0,20:04:04,1.54319E+12
102,900.1,523.8,21.83,234.73,0,0,0,20:04:04,1.54319E+12
103,947.02,527.35,26.47,267.02,0,0,0,20:04:04,1.54319E+12
104,841.64,524.85,20.57,228.79,0,0,0,20:04:04,1.54319E+12
105,858.98,523.21,21.98,214.06,0,0,0,20:04:04,1.54319E+12
106,959.63,524.31,26.95,256.03,0,0,0,20:04:04,1.54319E+12
107,886.65,523.9,21.88,245.56,0,0,0,20:04:04,1.54319E+12
108,833.36,525,21.04,208.79,0,0,0,20:04:04,1.54319E+12
109,942.84,524.39,24.42,248.59,0,0,0,20:04:04,1.54319E+12
110,926.54,523.37,26.98,260.72,0,0,0,20:04:04,1.54319E+12
111,823.52,522.78,23.22,212.95,0,0,0,20:04:04,1.54319E+12
112,905.3,528.91,27.35,233.1,0,0,0,20:04:04,1.54319E+12
