"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-12","1.12",,,"57","39","  270","  280","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-13","1.79",,,"58","37","  270","  270","10.1","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-14","0.89",,,"58","34","  170","  170","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-15","0.67",,,"61","36","  270","  280","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-16","0.22",,,"69","38","  270","  280","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-17","0.45",,,"78","42","  270","  270","4.9","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-18","1.34",,,"79","50","   40","  360","6.9","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-19","0.67",,,"79","50","  270","   20","4.9","8.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-20","1.57",,,"81","48","  270","  260","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-21","0.45",,,"81","45","  280","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-22","1.34",,,"81","51","  270","  270","8.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-23","1.79",,,"78","54","   90","  140","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-24","3.36",,,"66","55","  100","  110","12.1","17.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-25","2.01",,,"67","59","   80","  110","8.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-26","0.89",,,"68","55","  270","  270","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-27","2.01",,,"62","51","  340","  330","8.1","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-28","5.14",,,"61","48","  270","  330","10.1","21.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-29","1.79",,,"61","45","   70",,"6.0",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-30","2.24",,,"70","45","  280",,"4.9",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-31","0.45",,,"78","47","  280","  270","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-01","0.67",,,"76","50","  270","  270","12.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-02","0.45",,,"75","56","  330","  330","8.9","21.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-03","0.89",,,"77","56","  260","  270","8.9","17.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-04","0.89",,,"70","50","  280","  280","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-05","0.45",,,"60","54","  270","  280","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-06","0.89",,,"64","50","  270","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-07","1.12",,,"61","45","  270","  280","6.9","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-08","2.46",,,"55","44","  260","  260","10.1","21.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-09","1.57",,,"59","39","  280","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-10","1.12",,,"58","44","  100",,"4.9",
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-11","0.89",,,"63","43","  270","  270","10.1","17.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-12","1.34",,,"65","41","  280","  270","8.1","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-13","0.67",,,"69","42","  280","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-14","0.22",,,"75","45","  270","  270","8.1","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-15","0.89",,,"81","47","  270","  290","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-16","1.79",,,"82","53","  270","  270","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-17","2.01",,,"70","47","  100","  290","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-18","2.24",,,"64","53","  270","  260","8.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-19","2.46",,,"57","47","  280","  260","10.1","17.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-20","4.70",,,"61","41","  280","  260","15.0","31.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-21","2.46",,,"62","46","  260","  270","8.9","17.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-22","1.34",,,"68","43","  280","  280","10.1","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-23","1.12",,,"64","44","  100","  270","8.1","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-24","1.79",,,"68","47","  260","  270","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-25","0.89",,,"71","44","  270","  270","10.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-26","1.34",,,"74","43","  270","  270","8.1","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-27","0.67",,,"76","47","  260","  270","8.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-02-28","1.12",,,"80","49","  280","  270","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-01","1.57",,,"85","50","  280","  260","8.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-02","1.79",,,"84","57","  260","  270","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-03","0.89",,,"71","54","  270","  280","6.9","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-04","0.67",,,"68","53","  260","  270","8.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-05","0.89",,,"65","52","  270","  270","10.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-06","1.12",,,"63","50","  270","  280","8.1","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-07","1.57",,,"64","53","  270","  260","8.1","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-03-08","2.24",,,"60","46","  280","  280","12.1","21.0"
