,cds,county_code,district_code,school_code
650,33672153334406,33,67215,3334406
651,33672153336237,33,67215,3336237
652,33672153336492,33,67215,3336492
653,33672493337656,33,67249,3337656
654,33736760100255,33,73676,0100255
655,33736760121673,33,73676,0121673
656,33736763330990,33,73676,3330990
657,33751760107920,33,75176,0107920
658,33751763330487,33,75176,3330487
659,33751763332350,33,75176,3332350
660,33751920105734,33,75192,0105734
661,33751923330370,33,75192,3330370
662,33751923330743,33,75192,3330743
663,33752000100420,33,75200,0100420
664,33752000118794,33,75200,0118794
665,33752003330529,33,75200,3330529
666,33752420109108,33,75242,0109108
667,33752423330552,33,75242,3330552
668,34673140105916,34,67314,0105916
669,34673140108753,34,67314,0108753
670,34673140116897,34,67314,0116897
671,34673143430170,34,67314,3430170
672,34673143430592,34,67314,3430592
673,34673143430618,34,67314,3430618
674,34673143430873,34,67314,3430873
675,34673143432572,34,67314,3432572
676,34673300113571,34,67330,0113571
677,34673303431533,34,67330,3431533
678,34673303433216,34,67330,3433216
679,34673550119131,34,67355,0119131
680,34673553433471,34,67355,3433471
681,34674134835302,34,67413,4835302
682,34674390101881,34,67439,0101881
683,34674390101899,34,67439,0101899
684,34674390101907,34,67439,0101907
685,34674390101972,34,67439,0101972
686,34674390102038,34,67439,0102038
687,34674390108951,34,67439,0108951
688,34674393430865,34,67439,3430865
689,34674393431012,34,67439,3431012
690,34674393434636,34,67439,3434636
691,34674393434768,34,67439,3434768
692,34674393435419,34,67439,3435419
693,34674473430048,34,67447,3430048
694,34674473430493,34,67447,3430493
695,34674473431111,34,67447,3431111
696,34674473432051,34,67447,3432051
697,34674473432317,34,67447,3432317
698,34674473435930,34,67447,3435930
699,34674473436714,34,67447,3436714
700,34674473438504,34,67447,3438504
701,34739733430378,34,73973,3430378
702,34752830102236,34,75283,0102236
703,34752830112425,34,75283,0112425
704,34752833430584,34,75283,3430584
705,34765050101832,34,76505,0101832
706,34765053433265,34,76505,3433265
707,34765053433794,34,76505,3433794
708,34765053434370,34,76505,3434370
709,34765053436979,34,76505,3436979
710,35752593530060,35,75259,3530060
711,36676113630803,36,67611,3630803
712,36676523630225,36,67652,3630225
713,36676523630373,36,67652,3630373
714,36676523630571,36,67652,3630571
715,36676523631058,36,67652,3631058
716,36676523631157,36,67652,3631157
717,36676523632205,36,67652,3632205
718,36676523633906,36,67652,3633906
719,36676523634482,36,67652,3634482
720,36676783630035,36,67678,3630035
721,36676783630522,36,67678,3630522
722,36676783631017,36,67678,3631017
723,36676783632502,36,67678,3632502
724,36676860125500,36,67686,0125500
725,36676863631322,36,67686,3631322
726,36676863632742,36,67686,3632742
727,36677100108191,36,67710,0108191
728,36677100120758,36,67710,0120758
729,36677103630555,36,67710,3630555
730,36677103630902,36,67710,3630902
731,36677103633302,36,67710,3633302
732,36677773638616,36,67777,3638616
733,36678013634169,36,67801,3634169
734,36678430118802,36,67843,0118802
735,36678433630779,36,67843,3630779
736,36678433635042,36,67843,3635042
737,36678500102830,36,67850,0102830
738,36678503630597,36,67850,3630597
739,36678503633005,36,67850,3633005
740,36678683635265,36,67868,3635265
741,36678760125450,36,67876,0125450
742,36678763631082,36,67876,3631082
743,36678763632221,36,67876,3632221
744,36678763634680,36,67876,3634680
745,36678763635844,36,67876,3635844
746,36678763636081,36,67876,3636081
747,36679340125419,36,67934,0125419
748,36679343630787,36,67934,3630787
749,36679343638012,36,67934,3638012
750,36679593638509,36,67959,3638509
751,36738583630076,36,73858,3630076
752,36738903630274,36,73890,3630274
753,36739573630233,36,73957,3630233
754,36750440119115,36,75044,0119115
755,36750443630407,36,75044,3630407
756,36750443630746,36,75044,3630746
757,36750513630563,36,75051,3630563
758,36750693637584,36,75069,3637584
759,36750773630423,36,75077,3630423
760,36750773630894,36,75077,3630894
761,37679833730447,37,67983,3730447
762,37680313731478,37,68031,3731478
763,37681060111195,37,68106,0111195
764,37681060127241,37,68106,0127241
765,37681063730058,37,68106,3730058
766,37681063731023,37,68106,3731023
767,37681063732062,37,68106,3732062
768,37681063735313,37,68106,3735313
769,37681223732179,37,68122,3732179
770,37681303730066,37,68130,3730066
771,37681303730702,37,68130,3730702
772,37681303731262,37,68130,3731262
773,37681303731692,37,68130,3731692
774,37681303731809,37,68130,3731809
775,37681303732336,37,68130,3732336
776,37681303732625,37,68130,3732625
777,37681303732732,37,68130,3732732
778,37681303734548,37,68130,3734548
779,37681303734761,37,68130,3734761
780,37681303737905,37,68130,3737905
781,37681713733219,37,68171,3733219
782,37682130129668,37,68213,0129668
783,37682133734878,37,68213,3734878
784,37682960118935,37,68296,0118935
785,37682963730074,37,68296,3730074
786,37682963730819,37,68296,3730819
787,37682963731528,37,68296,3731528
788,37682963735867,37,68296,3735867
789,37683380106732,37,68338,0106732
790,37683380107029,37,68338,0107029
791,37683380107052,37,68338,0107052
792,37683380107078,37,68338,0107078
793,37683380107086,37,68338,0107086
794,37683380107094,37,68338,0107094
795,37683380107102,37,68338,0107102
796,37683380107177,37,68338,0107177
797,37683380107219,37,68338,0107219
798,37683380108787,37,68338,0108787
799,37683380114025,37,68338,0114025
800,37683380114462,37,68338,0114462
801,37683380118851,37,68338,0118851
802,37683380122788,37,68338,0122788
803,37683380127647,37,68338,0127647
804,37683383730173,37,68338,3730173
805,37683383730181,37,68338,3730181
806,37683383730314,37,68338,3730314
807,37683383730884,37,68338,3730884
808,37683383731213,37,68338,3731213
809,37683383731247,37,68338,3731247
810,37683383732781,37,68338,3732781
811,37683383732997,37,68338,3732997
812,37683383733508,37,68338,3733508
813,37683383733698,37,68338,3733698
814,37683383734431,37,68338,3734431
815,37683383734654,37,68338,3734654
816,37683383735750,37,68338,3735750
817,37683460106328,37,68346,0106328
818,37683463730033,37,68346,3730033
